a	@
snakes	s n eI k s
snake's	s n eI k s
snap	s n { p
snape	s n eI p
snapp	s n { p
snapped	s n { p t
snaps	s n { p s
snare	s n e@
snared	s n e@ d
snares	s n e@ z
snarl	s n Q@ l
snarls	s n Q@ l z
snatch	s n { tS
snatched	s n { tS t
snead	s n i: d
sneak	s n i: k
sneaked	s n i: k t
sneaks	s n i: k s
sneath	s n e T
snee	s n i:
sneed	s n i: d
sneer	s n I@
sneered	s n I@ d
sneers	s n I@ z
sneeze	s n i: z
sneezed	s n i: z d
snell	s n e l
snide	s n aI d
sniff	s n I f
sniffed	s n I f t
sniffs	s n I f s
snip	s n I p
snipe	s n aI p
sniped	s n aI p t
snipes	s n aI p s
snips	s n I p s
snitch	s n I tS
snob	s n Q b
snobs	s n Q b z
snoke	s n @U k
snook	s n U k
snooks	s n U k s
snoop	s n u: p
snooze	s n u: z
snore	s n O@
snort	s n O@ t
snorts	s n O@ t s
snot	s n O: t
snout	s n aU t
snow	s n @U
snowed	s n @U d
snows	s n @U z
snub	s n V b
snubbed	s n V b d
snuck	s n V k
snuff	s n V f
snuffed	s n V f t
snuffs	s n V f s
snug	s n V g
so	s @U
soak	s @U k
soaked	s @U k t
soaks	s @U k s
soap	s @U p
soaps	s @U p s
soar	s O@
soared	s O@ d
soars	s O@ z
soave	s @U v
sob	s Q b
sobbed	s Q b d
sobs	s Q b z
sock	s Q k
socked	s Q k t
socks	s Q k s
sod	s Q d
soft	s Q f t
sohn	s Q n
soil	s OI l
soiled	s OI l d
soils	s OI l z
soil's	s OI l z
soir	s OI r
sok	s Q k
sol	s Q l
sold	s @U l d
sole	s @U l
soles	s @U l z
soll	s Q l
solve	s Q l v
solved	s Q l v d
solves	s Q l v z
som	s Q m
some	s V m
son	s V n
sones	s @U n z
song	s O: N
songs	s O: N z
song's	s O: N z
sonne	s Q n
sons	s V n z
son's	s V n z
soo	s u:
soon	s u: n
soong	s u: N
soot	s U t
soothe	s u: D
soothed	s u: D d
soothes	s u: D z
soots	s U t s
sop	s Q p
sope	s @U p
sops	s Q p s
sor	s O@
sorce	s O@ s
sore	s O@
sores	s O@ z
sorge	s O@ dZ
sort	s O@ t
sorts	s O@ t s
so's	s @U z
soss	s O: s
sought	s O: t
souk	s u: k
soul	s @U l
soule	s aU l
souls	s @U l z
sound	s aU n d
sounds	s aU n d z
sound's	s aU n d z
soup	s u: p
souped	s u: p t
soups	s u: p s
soup's	s u: p s
source	s O@ s
sous	s u: z
south	s aU T
souths	s aU T s
south's	s aU T s
sow	s aU
sowed	s aU d
sowle	s @U l
sowles	s @U l z
sown	s @U n
sows	s @U z
sox	s Q k s
soy	s OI
spa	s p Q
space	s p eI s
spaced	s p eI s t
spack	s p { k
spade	s p eI d
spades	s p eI d z
spahn	s p Q n
spaid	s p eI d
spain	s p eI n
spain's	s p eI n z
spak	s p { k
spake	s p eI k
spall	s p O: l
spam	s p { m
span	s p { n
spang	s p { N
spank	s p { N k
spanked	s p { N k t
spann	s p { n
spanned	s p { n d
spans	s p { n z
span's	s p { n z
spar	s p Q@
sparc	s p Q@ k
spare	s p e@
spared	s p e@ d
spares	s p e@ z
spark	s p Q@ k
sparked	s p Q@ k t
sparkes	s p Q@ k s
sparks	s p Q@ k s
sparr	s p { r
sparred	s p Q@ d
sparse	s p Q@ s
spas	s p Q z
spat	s p { t
spate	s p eI t
spates	s p eI t s
spath	s p { T
spats	s p { t s
spatz	s p { t s
spaw	s p O:
spawn	s p Q n
spawned	s p O: n d
spawns	s p Q n z
spayd	s p eI d
speak	s p i: k
speaks	s p i: k s
spear	s p I@
spears	s p I@ z
spec	s p e k
specht	s p e k t
speck	s p e k
specks	s p e k s
specs	s p e k s
sped	s p e d
speece	s p i: s
speech	s p i: tS
speed	s p i: d
speeds	s p i: d z
speer	s p I@
speight	s p eI t
speir	s p I@
speirs	s p I@ z
spell	s p e l
spelled	s p e l d
spells	s p e l z
speltz	s p e l t s
spence	s p e n s
spend	s p e n d
spends	s p e n d z
spent	s p e n t
sperm	s p @r m
sperms	s p @r m z
spew	s p j u:
spewed	s p j u: d
spews	s p j u: z
spey	s p eI
sphere	s f I@
spheres	s f I@ z
sphinx	s f I N k s
spic	s p I k
spice	s p aI s
spiced	s p aI s t
spie	s p i:
spied	s p aI d
spiel	s p i: l
spies	s p aI z
spight	s p aI t
spike	s p aI k
spiked	s p aI k t
spikes	s p aI k s
spill	s p I l
spilled	s p I l d
spills	s p I l z
spilt	s p I l t
spin	s p I n
spine	s p aI n
spines	s p aI n z
spink	s p I N k
spinks	s p I N k s
spins	s p I n z
spire	s p aI r
spires	s p aI r z
spit	s p I t
spite	s p aI t
spits	s p I t s
spitz	s p I t s
splash	s p l { S
splashed	s p l { S t
splat	s p l { t
spleen	s p l i: n
splice	s p l aI s
spliced	s p l aI s t
splint	s p l I n t
splints	s p l I n t s
split	s p l I t
splits	s p l I t s
splurge	s p l @r dZ
splurged	s p l @r dZ d
spock	s p Q k
spohr	s p Q@
spoil	s p OI l
spoiled	s p OI l d
spoils	s p OI l z
spoke	s p @U k
spokes	s p @U k s
spong	s p O: N
sponge	s p V n dZ
sponged	s p V n dZ d
spoof	s p u: f
spoofed	s p u: f t
spoofs	s p u: f s
spook	s p u: k
spooked	s p u: k t
spooks	s p u: k s
spool	s p u: l
spoon	s p u: n
spoons	s p u: n z
spoor	s p U@
spoor's	s p U@ z
spore	s p O@
spores	s p O@ z
sport	s p O@ t
sports	s p O@ t s
sport's	s p O@ t s
spot	s p Q t
spots	s p Q t s
spouse	s p aU s
spout	s p aU t
sprague	s p r eI g
sprague's	s p r eI g z
sprain	s p r eI n
sprained	s p r eI n d
sprains	s p r eI n z
sprang	s p r { N
spratt	s p r { t
sprawl	s p r O: l
sprawled	s p r O: l d
sprawls	s p r O: l z
spray	s p r eI
sprayed	s p r eI d
sprays	s p r eI z
spread	s p r e d
spreads	s p r e d z
spree	s p r i:
sprees	s p r i: z
spreng	s p r e N
sprigg	s p r I g
sprigged	s p r I g d
spring	s p r I N
springs	s p r I N z
spring's	s p r I N z
sprint	s p r I n t
sprints	s p r I n t s
sprint's	s p r I n t s
sprite	s p r aI t
sproat	s p r @U t
sprong	s p r O: N
sprott	s p r Q t
sproul	s p r aU l
sprout	s p r aU t
sprouts	s p r aU t s
spruce	s p r u: s
spruced	s p r u: s t
sprung	s p r V N
spry	s p r aI
spud	s p V d
spuds	s p V d z
spud's	s p V d z
spun	s p V n
spunk	s p V N k
spur	s p @r
spurge	s p @r dZ
spurn	s p @r n
spurned	s p @r n d
spurns	s p @r n z
spurred	s p @r d
spurs	s p @r z
spurt	s p @r t
spurts	s p @r t s
spy	s p aI
squad	s k w Q d
squads	s k w Q d z
squad's	s k w Q d z
squall	s k w O: l
squalls	s k w O: l z
square	s k w e@
squared	s k w e@ d
squares	s k w e@ z
squash	s k w Q S
squashed	s k w Q S t
squat	s k w Q t
squats	s k w Q t s
squawk	s k w O: k
squawks	s k w O: k s
squeak	s k w i: k
squeaked	s k w i: k t
squeaks	s k w i: k s
squeal	s k w i: l
squeals	s k w i: l z
squeeze	s k w i: z
squeezed	s k w i: z d
squelch	s k w e l tS
squelched	s k w e l tS t
squibb	s k w I b
squibb's	s k w I b z
squid	s k w I d
squint	s k w I n t
squire	s k w aI r
squirm	s k w @r m
squirms	s k w @r m z
squirt	s k w @r t
squirts	s k w @r t s
sram	S r { m
sri	S r i:
st	s t r i: t
sta	s t V
staab	s t Q b
staal	s t Q l
stab	s t { b
stabbed	s t { b d
stabs	s t { b z
stack	s t { k
stacked	s t { k t
stacks	s t { k s
stade	s t eI d
stadt	s t { d t
staff	s t { f
staffed	s t { f t
staffs	s t { f s
staff's	s t { f s
stag	s t { g
stage	s t eI dZ
staged	s t eI dZ d
stagg	s t { g
stahl	s t Q l
staid	s t eI d
stain	s t eI n
stained	s t eI n d
staines	s t eI n z
stains	s t eI n z
stair	s t e@
stairs	s t e@ z
stake	s t eI k
staked	s t eI k t
stakes	s t eI k s
stake's	s t eI k s
stale	s t eI l
stalk	s t O: k
stalked	s t O: k t
stalks	s t O: k s
stall	s t O: l
stalled	s t O: l d
stalls	s t O: l z
stam	s t { m
stamp	s t { m p
stamped	s t { m p t
stamps	s t { m p s
stan	s t { n
stance	s t { n s
stanch	s t { n tS
stanched	s t { n tS t
stand	s t { n d
stands	s t { n d z
stang	s t { N
stank	s t { N k
stan's	s t { n z
star	s t Q@
starch	s t Q@ tS
starched	s t Q@ tS t
stare	s t e@
stared	s t e@ d
stares	s t e@ z
stark	s t Q@ k
starke	s t Q@ k
starks	s t Q@ k s
stark's	s t Q@ k s
starn	s t Q@ n
starns	s t Q@ n z
starr	s t Q@
starred	s t Q@ d
starrs	s t Q@ z
starr's	s t Q@ z
stars	s t Q@ z
star's	s t Q@ z
start	s t Q@ t
starts	s t Q@ t s
starve	s t Q@ v
starved	s t Q@ v d
stash	s t { S
stashed	s t { S t
stat	s t { t
state	s t eI t
states	s t eI t s
state's	s t eI t s
states'	s t eI t s
stats	s t { t s
statz	s t { t s
staunch	s t O: n tS
staup	s t O: p
stave	s t eI v
staved	s t eI v d
staves	s t eI v z
stay	s t eI
stayed	s t eI d
stays	s t eI z
stead	s t e d
steak	s t eI k
steaks	s t eI k s
steal	s t i: l
steals	s t i: l z
stealth	s t e l T
steam	s t i: m
steamed	s t i: m d
steams	s t i: m z
stear	s t I@
stearn	s t @r n
stearne	s t @r n
stearns	s t @r n z
stears	s t i: r z
stech	s t e k
steck	s t e k
steed	s t i: d
steed's	s t i: d z
steel	s t i: l
steele	s t i: l
steels	s t i: l z
steel's	s t i: l z
steen	s t i: n
steep	s t i: p
steeped	s t i: p t
steer	s t I@
steere	s t I@
steered	s t I@ d
steers	s t I@ z
steeves	s t i: v z
steil	s t i: l
stein	s t aI n
steinke	s t aI N k
stein's	s t aI n z
stell	s t e l
stelle	s t e l
stem	s t e m
stemmed	s t e m d
stems	s t e m z
sten	s t e n
stench	s t e n tS
stent	s t e n t
step	s t e p
steppe	s t e p
stepped	s t e p t
steppes	s t e p s
steps	s t e p s
sterk	s t @r k
stern	s t @r n
sterne	s t @r n
sterns	s t @r n z
stern's	s t @r n z
stet	s t e t
steve	s t i: v
steve's	s t i: v z
stew	s t u:
stewed	s t u: d
stews	s t u: z
stew's	s t u: z
stich	s t I tS
stick	s t I k
sticks	s t I k s
stieve	s t i: v
stiff	s t I f
stiffed	s t I f t
stiffs	s t I f s
stig	s t I g
stile	s t aI l
stiles	s t aI l z
still	s t I l
stilled	s t I l d
stills	s t I l z
stilt	s t I l t
stilts	s t I l t s
stine	s t aI n
sting	s t I N
stings	s t I N z
stink	s t I N k
stinks	s t I N k s
stint	s t I n t
stints	s t I n t s
stipe	s t aI p
stipes	s t aI p s
stir	s t @r
stires	s t aI r z
stirred	s t @r d
stirs	s t @r z
stitch	s t I tS
stitched	s t I tS t
stites	s t aI t s
stith	s t I T
stock	s t Q k
stocked	s t Q k t
stocks	s t Q k s
stock's	s t Q k s
stoff	s t O: f
stoke	s t @U k
stoked	s t @U k t
stokes	s t @U k s
stol	s t @U l
stole	s t @U l
stoll	s t @U l
stomp	s t Q m p
stomped	s t Q m p t
stone	s t @U n
stoned	s t @U n d
stones	s t @U n z
stone's	s t @U n z
stong	s t O: N
stood	s t U d
stooge	s t u: dZ
stool	s t u: l
stools	s t u: l z
stoop	s t u: p
stooped	s t u: p t
stoops	s t u: p s
stop	s t Q p
stopped	s t Q p t
stops	s t Q p s
store	s t O@
stored	s t O@ d
stores	s t O@ z
store's	s t O@ z
stork	s t O@ k
storm	s t O@ m
stormed	s t O@ m d
storms	s t O@ m z
storm's	s t O@ m z
storr	s t O@
storrs	s t O@ z
stortz	s t O@ t s
storz	s t O@ z
stott	s t Q t
stoup	s t u: p
stout	s t aU t
stove	s t @U v
stoves	s t @U v z
stow	s t @U
stowe	s t @U
stowed	s t @U d
stoy	s t OI
strack	s t r { k
strafe	s t r eI f
straight	s t r eI t
straights	s t r eI t s
strain	s t r eI n
strained	s t r eI n d
strains	s t r eI n z
strait	s t r eI t
straits	s t r eI t s
stram	s t r { m
strand	s t r { n d
strands	s t r { n d z
strang	s t r { N
strange	s t r eI n dZ
strap	s t r { p
strapped	s t r { p t
straps	s t r { p s
strate	s t r eI t
straub	s t r aU b
straughn	s t r O: n
straus	s t r aU s
strauss	s t r aU s
straw	s t r O:
strawn	s t r O: n
straws	s t r O: z
stray	s t r eI
strayed	s t r eI d
strays	s t r eI z
streak	s t r i: k
streaked	s t r i: k t
streaks	s t r i: k s
stream	s t r i: m
streamed	s t r i: m d
streams	s t r i: m z
streck	s t r e k
streep	s t r i: p
street	s t r i: t
streets	s t r i: t s
street's	s t r i: t s
streight	s t r eI t
streit	s t r aI t
streng	s t r e N
strength	s t r e N k T
strengths	s t r e N k T s
strep	s t r e p
streps	s t r e p s
stress	s t r e s
stressed	s t r e s t
stretch	s t r e tS
stretched	s t r e tS t
strew	s t r u:
strewn	s t r u: n
strey	s t r eI
strick	s t r I k
strict	s t r I k t
stride	s t r aI d
strides	s t r aI d z
strife	s t r aI f
strifes	s t r aI f s
strike	s t r aI k
strikes	s t r aI k s
strine	s t r aI n
string	s t r I N
stringed	s t r I N d
strings	s t r I N z
strip	s t r I p
stripe	s t r aI p
striped	s t r aI p t
stripes	s t r aI p s
stripped	s t r I p t
strips	s t r I p s
strip's	s t r I p s
strive	s t r aI v
strives	s t r aI v z
strobe	s t r @U b
strode	s t r @U d
stroh	s t r @U
strohl	s t r @U l
stroke	s t r @U k
stroked	s t r @U k t
strokes	s t r @U k s
stroll	s t r @U l
strolled	s t r @U l d
strolls	s t r @U l z
strom	s t r Q m
strome	s t r @U m
strong	s t r O: N
stroot	s t r u: t
stroud	s t r aU d
stroup	s t r u: p
strout	s t r aU t
strove	s t r @U v
strow	s t r @U
strub	s t r V b
struck	s t r V k
strum	s t r V m
strums	s t r V m z
strung	s t r V N
strunk	s t r V N k
strunk's	s t r V N k s
strut	s t r V t
struts	s t r V t s
struve	s t r u: v
stu	s t u:
stub	s t V b
stubbed	s t V b d
stubbs	s t V b z
stubs	s t V b z
stuck	s t V k
stud	s t V d
stude	s t u: d
studs	s t V d z
stuff	s t V f
stuffed	s t V f t
stuffs	s t V f s
stull	s t V l
stultz	s t V l t s
stum	s t V m
stumm	s t V m
stump	s t V m p
stumped	s t V m p t
stumps	s t V m p s
stun	s t V n
stung	s t V N
stunk	s t V N k
stunned	s t V n d
stunt	s t V n t
stunts	s t V n t s
stupp	s t V p
sturm	s t @r m
sty	s t aI
style	s t aI l
styled	s t aI l d
styles	s t aI l z
styx	s t I k s
su	s u:
suave	s w Q v
sub	s V b
subbed	s V b d
subs	s V b z
sub's	s V b z
such	s V tS
suck	s V k
sucked	s V k t
sucks	s V k s
sudd	s V d
suds	s V d z
sue	s u:
sued	s u: d
suede	s w eI d
suedes	s w eI d z
sues	s u: z
sugg	s V g
suh	s V
suisse	s w I s
suit	s u: t
suite	s w i: t
suites	s w i: t s
suits	s u: t s
suit's	s u: t s
suk	s V k
sul	s V l
sulk	s V l k
sulked	s V l k t
sum	s V m
summed	s V m d
sump	s V m p
sums	s V m z
sun	s V n
sung	s V N
sung's	s V N z
sunk	s V N k
suns	s V n z
sun's	s V n z
sup	s V p
sur	s @r
sure	S U@
sures	S U@ z
surf	s @r f
surfed	s @r f t
surf's	s @r f s
surge	s @r dZ
surged	s @r dZ d
sus	s V s
suss	s V s
svelte	s v e l t
sven	s v e n
swab	s w Q b
swabs	s w Q b z
swails	s w eI l z
swain	s w eI n
swaine	s w eI n
swales	s w eI l z
swam	s w { m
swamp	s w Q m p
swamped	s w Q m p t
swamps	s w Q m p s
swan	s w Q n
swank	s w { N k
swann	s w Q n
swann's	s w Q n z
swans	s w Q n z
swap	s w Q p
swape	s w eI p
swapped	s w Q p t
swaps	s w Q p s
sward	s w Q@ d
swarm	s w O@ m
swarmed	s w O@ m d
swarms	s w O@ m z
swart	s w O@ t
swarts	s w O@ t s
swartz	s w O@ t s
swat	s w Q t
swatch	s w Q tS
swath	s w Q T
swathe	s w Q D
swathed	s w Q D d
sway	s w eI
swayed	s w eI d
swayne	s w eI n
sways	s w eI z
swear	s w e@
swears	s w e@ z
sweat	s w e t
sweats	s w e t s
sweatt	s w i: t
swed	s w e d
swede	s w i: d
swedes	s w i: d z
sweep	s w i: p
sweeps	s w i: p s
sweet	s w i: t
sweets	s w i: t s
swell	s w e l
swelled	s w e l d
swells	s w e l z
swept	s w e p t
swerve	s w @r v
swerved	s w @r v d
swick	s w I k
swift	s w I f t
swifts	s w I f t s
swift's	s w I f t s
swig	s w I g
swill	s w I l
swim	s w I m
swims	s w I m z
swine	s w aI n
swing	s w I N
swings	s w I N z
swink	s w I N k
swipe	s w aI p
swiped	s w aI p t
swipes	s w aI p s
swire	s w aI r
swirl	s w @r l
swirled	s w @r l d
swirls	s w @r l z
swish	s w I S
swished	s w I S t
swiss	s w I s
switch	s w I tS
switched	s w I tS t
swoon	s w u: n
swooned	s w u: n d
swoop	s w u: p
swoope	s w u: p
swooped	s w u: p t
swoops	s w u: p s
swoosh	s w u: S
swooshed	s w u: S t
swope	s w @U p
swor	s w @r
sword	s O@ d
swords	s O@ d z
swore	s w O@
sworn	s w O@ n
swum	s w V m
swung	s w V N
sy	s aI
syd	s I d
syed	s aI d
sykes	s aI k s
sym	s I m
syn	s I n
sync	s I N k
synch	s I n tS
t	th i:
t.	th i:
ta	th Q
tab	th { b
tabb	th { b
tabs	th { b z
tac	th { k
tack	th { k
tacked	th { k t
tacks	th { k s
tact	th { k t
tad	th { d
tadd	th { d
tae	th eI
taft	th { f t
taft's	th { f t s
tag	th { g
tagged	th { g d
tags	th { g z
tai	th aI
tail	th eI l
tailed	th eI l d
tails	th eI l z
taint	th eI n t
taints	th eI n t s
tait	th eI t
taite	th eI t
taj	th Q Z
tak	th { k
take	th eI k
takes	th eI k s
tal	th Q l
talc	th { l k
talcs	th { l k s
tale	th eI l
tales	th eI l z
talk	th O: k
talked	th O: k t
talks	th O: k s
tall	th O: l
tam	th { m
tame	th eI m
tamed	th eI m d
tames	th eI m z
tamp	th { m p
tamps	th { m p s
tan	th { n
tang	th { N
t'ang	th { N
tangs	th { N z
tank	th { N k
tanked	th { N k t
tanks	th { N k s
tank's	th { N k s
tann	th { n
tanned	th { n d
tans	th { n z
tant	th { n t
tao	th aU
taos	th aU z
tap	th { p
tape	th eI p
taped	th eI p t
tapes	th eI p s
tape's	th eI p s
tapped	th { p t
taps	th { p s
tar	th Q@
tarp	th Q@ p
tarps	th Q@ p s
tarr	th Q@
tarred	th Q@ d
tart	th Q@ t
tarte	th Q@ t
tarts	th Q@ t s
tash	th { S
task	th { s k
tasked	th { s k t
tasks	th { s k s
tass	th { s
taste	th eI s t
tastes	th eI s t s
tat	th { t
tate	th eI t
tate's	th eI t s
taub	th aU b
taube	th O: b
taubes	th aU b z
taught	th O: t
taunt	th O: n t
taunts	th O: n t s
taut	th O: t
tawes	th O: z
tax	th { k s
taxed	th { k s t
tay	th eI
tays	th eI z
te	th i:
tea	th i:
teach	th i: tS
teague	th i: g
teak	th i: k
teal	th i: l
team	th i: m
teamed	th i: m d
teams	th i: m z
team's	th i: m z
tear	th e@
tears	th e@ z
teas	th i: z
tease	th i: z
teased	th i: z d
teat	th i: t
teats	th i: t s
tec	th e k
tech	th e k
techs	th e k s
tech's	th e k s
teck	th e k
ted	th e d
ted's	th e d z
tee	th i:
teed	th i: d
teel	th i: l
teem	th i: m
teems	th i: m z
teen	th i: n
teens	th i: n z
teer	th I@
tees	th i: z
teet	th i: t
teeth	th i: T
teethe	th i: D
tefft	th e f t
tel	th e l
tell	th e l
tells	th e l z
temp	th e m p
temps	th e m p s
tempt	th e m p t
tempts	th e m p t s
ten	th e n
tench	th e n tS
tend	th e n d
tends	th e n d z
teng	th e N
tens	th e n z
ten's	th e n z
tense	th e n s
tent	th e n t
tenth	th e n T
tenths	th e n T s
tents	th e n t s
tepe	th i: p
ter	th @r
term	th @r m
termed	th @r m d
terms	th @r m z
term's	th @r m z
ternes	th @r n z
terns	th @r n z
terse	th @r s
tess	th e s
test	th e s t
tests	th e s t s
test's	th e s t s
tet	th e t
tete	th e t
tew	tS u:
tews	tS u: z
tex	th e k s
text	th e k s t
texts	th e k s t s
thach	T { tS
thad	T { d
thai	th aI
thain	T eI n
thaine	T eI n
thais	th aI z
tham	T { m
thames	th e m z
than	D { n
thane	T eI n
thanh	T { n
thank	T { N k
thanked	T { N k t
thanks	T { N k s
thar	T Q@
tharp	T Q@ p
that	D { t
thatch	T { tS
thatched	T { tS t
that's	D { t s
thaw	T O:
thawed	T O: d
thaws	T O: z
thayne	T eI n
the	D @
theall	T i: l
thebes	T i: b z
thee	D i:
theft	T e f t
thefts	T e f t s
thein	T aI n
their	D e@
theirs	D e@ z
theis	D aI z
theiss	T aI s
them	D e m
theme	T i: m
themed	T i: m d
themes	T i: m z
then	D e n
thence	D e n s
there	D e@
there'd	D e@ d
there's	D e@ z
therm	T @r m
these	D i: z
thew	T u:
they	D eI
they'd	D eI d
they'll	D eI l
they're	D e@
they've	D eI v
thi	T i:
thick	T I k
thief	T i: f
thief's	T i: f s
thieves	T i: v z
thieves'	T i: v z
thigh	T aI
thighs	T aI z
thill	T I l
thin	T I n
thine	D aI n
thing	T I N
things	T I N z
thing's	T I N z
think	T I N k
thinks	T I N k s
thinned	T I n d
thins	T I n z
third	T @r d
thirds	T @r d z
thirst	T @r s t
this	D I s
tho	D @U
thole	T @U l
thom	th Q m
thome	T @U m
thon	T Q n
thone	T @U n
thong	T O: N
thor	T O@
thorn	T O@ n
thorne	T O@ n
thorns	T O@ n z
thorn's	T O@ n z
thorp	T O@ p
thorpe	T O@ p
those	D @U z
thou	D aU
though	D @U
thought	T O: t
thoughts	T O: t s
thous	D aU z
thrall	T r O: l
thrash	T r { S
thrashed	T r { S t
thread	T r e d
threads	T r e d z
threat	T r e t
threats	T r e t s
three	T r i:
threes	T r i: z
three's	T r i: z
thresh	T r e S
threw	T r u:
thrice	T r aI s
thrift	T r I f t
thrifts	T r I f t s
thrift's	T r I f t s
thrill	T r I l
thrilled	T r I l d
thrills	T r I l z
thrips	T r I p s
thrive	T r aI v
thrived	T r aI v d
thrives	T r aI v z
throat	T r @U t
throats	T r @U t s
throb	T r Q b
throes	T r @U z
throne	T r @U n
throng	T r O: N
thronged	T r O: N d
throngs	T r O: N z
throop	T r u: p
through	T r u:
throve	T r @U v
throw	T r @U
thrown	T r @U n
throws	T r @U z
thru	T r u:
thrush	T r V S
thrust	T r V s t
thrusts	T r V s t s
thud	T V d
thug	T V g
thugs	T V g z
thumb	T V m
thumbed	T V m d
thumbs	T V m z
thump	T V m p
thumped	T V m p t
thumps	T V m p s
thun	T V n
thunk	T V n k
thur	D @r
thurm	T @r m
thurn	T @r n
thus	D V s
thwart	T w O@ t
thwarts	T w O@ t s
thwing	T w I N
thy	D aI
thyme	T aI m
ti	th i:
tian	th j Q n
tibbs	th I b z
tic	th I k
tice	th aI s
tick	th I k
ticked	th I k t
ticks	th I k s
tics	th I k s
tide	th aI d
tides	th aI d z
tie	th aI
tied	th aI d
tien	th j e n
tier	th i: r
tierce	th i: r s
tiered	th i: r d
tiers	th i: r z
ties	th aI z
tiff	th I f
tift	th I f t
tig	th I g
tigges	th I g z
tight	th aI t
tights	th aI t s
tike	th aI k
tikes	th aI k s
til	th I l
tile	th aI l
tiled	th aI l d
tiles	th aI l z
till	th I l
tilt	th I l t
tilth	th I l T
tilts	th I l t s
tim	th I m
time	th aI m
timed	th aI m d
times	th aI m z
time's	th aI m z
timms	th I m z
tims	th I m z
tim's	th I m z
tin	th I n
tine	th aI n
tines	th aI n z
ting	th I N
tinge	th I n dZ
tinged	th I N d
tins	th I n z
tint	th I n t
tints	th I n t s
tip	th I p
tipp	th I p
tipped	th I p t
tips	th I p s
tis	th I z
tish	th I S
tit	th I t
tithe	th aI D
to	th u:
toad	th @U d
toads	th @U d z
toast	th @U s t
toasts	th @U s t s
tobe	th @U b
tock	th Q k
tod	th Q d
todd	th Q d
todd's	th Q d z
todt	th Q d t
toe	th @U
toed	th @U d
toes	th @U z
toft	th Q f t
tofte	th @U f t
togs	th Q g z
toil	th OI l
toiled	th OI l d
toils	th OI l z
told	th @U l d
tole	th @U l
toles	th @U l z
toll	th @U l
tolled	th @U l d
tolls	th @U l z
tom	th Q m
tomb	th u: m
tombs	th u: m z
tome	th @U m
tomes	th @U m z
toms	th Q m z
tom's	th Q m z
ton	th V n
tone	th @U n
toned	th @U n d
tones	th @U n z
tong	th O: N
tongs	th Q N z
tongue	th V N
tongued	th V N d
tongues	th V N z
tonk	th O: N k
tonks	th Q N k s
tonn	th Q n
tonne	th V n
tonnes	th V n z
tons	th V n z
too	th u:
took	th U k
tooke	th U k
tool	th u: l
toole	th u: l
tooled	th u: l d
tools	th u: l z
toombs	th u: m z
toon	th u: n
toone	th u: n
toot	th u: t
tooth	th u: T
toothed	th u: T t
toots	th u: t s
top	th Q p
tope	th @U p
topped	th Q p t
tops	th Q p s
tor	th O@
torch	th O@ tS
torched	th O@ tS t
tore	th O@
torn	th O@ n
torp	th O@ p
torque	th O@ k
torr	th O@
torre	th O@
tort	th O@ t
torte	th O@ t
torts	th O@ t s
tosch	th O: S
tosh	th Q S
toss	th O: s
tossed	th O: s t
tot	th Q t
tote	th @U t
totes	th @U t s
toth	th Q T
tots	th Q t s
touch	th V tS
touche	th u: S
touched	th V tS t
tough	th V f
toughed	th V f t
toughs	th V f s
tour	th U@
toured	th U@ d
tours	th U@ z
tour's	th U@ z
tout	th aU t
touts	th aU t s
tow	th @U
towed	th @U d
town	th aU n
towne	th aU n
townes	th aU n z
towns	th aU n z
town's	th aU n z
tows	th @U z
toy	th OI
toye	th OI
toyed	th OI d
toys	th OI z
toy's	th OI z
trac	th r { k
trace	th r eI s
traced	th r eI s t
track	th r { k
tracked	th r { k t
tracks	th r { k s
track's	th r { k s
tract	th r { k t
tracts	th r { k t s
trade	th r eI d
trades	th r eI d z
trade's	th r eI d z
traer	th r e@
trail	th r eI l
trailed	th r eI l d
trails	th r eI l z
train	th r eI n
trained	th r eI n d
trains	th r eI n z
traipse	th r eI p s
trait	th r eI t
traits	th r eI t s
tram	th r { m
tramp	th r { m p
tramps	th r { m p z
trams	th r { m z
tran	th r { n
trance	th r { n s
tranche	th r { n tS
trang	th r { N
trans	th r { n z
trant	th r { n t
trap	th r { p
trappe	th r { p
trapped	th r { p t
traps	th r { p s
trash	th r { S
trashed	th r { S t
trask	th r { s k
tray	th r eI
trays	th r eI z
tread	th r e d
treads	th r e d z
treat	th r i: t
treats	th r i: t s
tree	th r i:
treece	th r i: s
treen	th r i: n
trees	th r i: z
trek	th r e k
trekked	th r e k t
treks	th r e k s
trench	th r e n tS
trend	th r e n d
trends	th r e n d z
trent	th r e n t
trent's	th r e n t s
tress	th r e s
trest	th r e s t
trew	th r u:
trey	th r eI
tri	th r aI
trib	th r I b
tribe	th r aI b
tribes	th r aI b z
tribe's	th r aI b z
trice	th r aI s
trick	th r I k
tricked	th r I k t
tricks	th r I k s
tried	th r aI d
tries	th r aI z
trieste	th r i: s t
trig	th r I g
trill	th r I l
trim	th r I m
trimmed	th r I m d
trims	th r I m z
trine	th r aI n
trip	th r I p
tripe	th r aI p
tripp	th r I p
trippe	th r I p
tripped	th r I p t
trips	th r I p s
trip's	th r I p s
trish	th r I S
trite	th r aI t
trites	th r aI t s
troche	th r Q tS
trod	th r Q d
trois	th w Q
troll	th r @U l
tromp	th r Q m p
tron	th r Q n
trone	th r @U n
troon	th r u: n
troop	th r u: p
trooped	th r u: p t
troops	th r u: p s
troop's	th r u: p s
